#######################################################################################################################################################
S   #     #     #             #         #   #       #     #     # #   #       #       #     #           #         #             #     #       #       #
# # # ### ##### # ######### # # ### ### ### # ####### ### ##### # # # # ##### # ##### ##### ########### # ######### ##### ##### ### ### ####### ##### #
# #   # #   #   #   #       #   #   #   #   #     #     # #     #   #     #   # #     #     #       # #       #   #   #   #   #   #   #             # #
# ##### ### # ##### # ### ####### ####### ### ### # ##### # ############# ##### ### # # ##### # ### # ### ### # # ##### ##### ### # # ### ########### #
#     #   #   #   # #   # #       #     # #   #   # # #   # #           #   #     # # # #     # #   # # # #   # # #   # #   #     # #       #   #     #
##### ### ##### # # ##### # ####### ### # ##### # # # # # # # ######### ### # ### ### # ####### ##### # # ##### # # # # # # # ##### ######### # # ### #
# #   # #   #   #     #   #       # #     #     #   #   # # # #   #   # #   #   # #   # #   #     #     #   #   #   #   # #   #   # #     #   #   #   #
# # # # ### # ##### ### ####### # ### # ### ############# # # # # # # # # ####### # ### # # # ### # ####### # ########### ####### # # ##### ####### ###
# # #     # # #   # #   #   #   #   # # #       #       #   # # #   # # #       # #     # #   #   #   #   # # # #         #       # #       #     #   #
# # ####### # ### ### ### # # ##### # # ####### ##### ####### # ##### # ### ### # ####### ########### # # # # # # ########### ### # # ##### # ### ### #
#     #     #   # #   # # #   #   #   # #     #     #     # # # #     # #   #   #       #   #   #       #   # #   # #   #   # #   # #   # #     # #   #
##### # ####### # # ### # ##### ####### # # # ##### ##### # # # # ##### # ### ######### ### ### # ### ####### ##### # # # # ### ### ### # ##### # # ###
#   # # #     # #   #   # #   #     # #   # #     #   #   #   # #       #   #         #   # #   # #   #   #         # #   # #   # # #   #       # #   #
# # # # # ### # ##### ### ### ##### # ##### ####### # # ####### ########### ######### ### # # ##### ##### # ### ##### ##### # ### # ############# #####
# #   # #   # # #   #     #         # #   #         #   #         #     #   #     #     # # #     #       #   #     # #   #   #   # #   #         #   #
# ##### ### # # # ######### # ####### # # ############### ####### # ##### ### ### ##### # # ##### ### ####### ##### # # # ##### # # # # # ######### # #
#     # #   # # # #       # # #       # #     #       # #   # #     # #   #   # #       # # #     #   # #   # #     # # #   #   # # # #     #   # # # #
##### # ### # # # # ##### # # # # ##### # ### # ##### # ### # # # ### # ### ### ######### # # ##### # # # # # # ### # # ### # ### # ######### # # # ###
#   #       #           #   #   #   #   # #   #   #   # #   # # #   # # #   #       #     # # #   # # # # #   #   #   # # #     # #   #     # # # #   #
# ##### ####### ### ############# # # ### ####### # ### ### # # ### # # ##### ##### # ##### # # # # # # # ##### # ##### # ### # ##### ### # ### # ### #
#       #   #   # #     #   #     # # #     #     # #       # #   #   #       #   # # #   # # # # # #     #   # #   #   #   # # #   # #   #     #   # #
######### # ##### ##### # # ####### # # ### # # ### ######### ### ### ####### # # # # # # # # # # ########### ##### ### ### # # # # # # ######### # # #
# #     # #       # #   # #     #   # # #   # # # #       #   #   #   #     #   # #   # # # # # #         #   #   #   #     # #   #   # #   #     # # #
# # ### # ##### ### # ### ### ### ##### # ##### # ####### # ### ##### # ### ### # ##### # # # ########### # ### # # # ### ### ######### # # # ##### # #
#   # # #     # #     #   #       #     # #   # #   #     #   # #   # #   #   # #   #   #   #     #     #       # # # #   #   #     #   # #   #   # # #
# ### # ##### # ### ####### # ##### ##### ### # ### ### ##### # # # # ##### # # # ### ### ### ### ##### ######### ### # ### ### ### # ### ####### # # #
#   # # #   # #   #     #   # #   #   #   #     # #   # #     # # # # # #   # # # #     # #   #   #   #             # #   # # #   #   # #       #     #
### # # # ### ### ##### ##### # # ### # ### ##### ### # # ### # # # # # # ### # # # # ### ### # ### # ########### # # # # # # ### # ### ### # # ### ###
#     #   #   # # #   #   #   # #     # #   #   #     #   #   # # # # #     #   # # #   # #   #   # #   #       # #   # # # # # # #     #   # #   #   #
# # ####### ### # ### ### # ### ####### # # # # # ### ##### ### ### # # ### ##### ##### # # ##### # ### ####### # ##### # # # # # ### ### ####### ### #
# # #     # #   #         # #   #   #   # #   #   # # #   #     #   # #   # #   #     # #   #     #   #   #     # #     # # #   # #   #   #     #   # #
### # ### # # ############# # ### # # # # ####### # # ### ### ### ### ### # ### # ### # ##### ####### ### # ##### ######### # ### ### # ### ### ### # #
#   #   # # #         #   #   #   # # #   #       #   #   #   #     #   # #   #   # # # #     #   # #   # #     # #       # #   # #   # #   # #     # #
# ####### # ### ##### # # ### # ### # ##### ### ##### # ### ####### ### # ### ##### # # # ##### # # ##### ##### # # ##### # # ### # ### # ### ####### #
# #   #   #   #   #   # # #   # # # # #     # #   # #   #   #   #   #   # #   #     # # #   #   # #             # #   #     # #   #     # #   #   #   #
# # # # # # # ##### ##### ##### # # # ####### ### # ##### ##### # ### ### # ##### ### # ### # ### # ############# ### # # ### # ######### ### # # # # #
#   #   #   #                   #   #   #   #     #       #   #   #   #   # #   # #     #   # #   #       #     # # # # # # # #   #     #     # # # # #
####### ########### ############# ### # ### ############### # # ### ##### # # # # ### ### ##### ### ##### # ### # # # ### # # ### ##### ####### # # # #
#       #           #             #   #       #     #       #   #   #   # #   # #     #   #   #   #   #   # #   # # # #         # #   # #     # #   # #
# ####### ########### ############# ####### # # ### # ########### ##### # ##### ####### ##### # ##### # ### # ### # # # ##### # # # # # # ##### ##### #
# #   #   # #         #   #       # # #   # # # #   #       #   # # #   # # #   #     #       #   # # #   # # # # #   #   #   # #   #   # #     #     #
# ### # ### # ######### # # ##### # # # ### # # # ####### # ### # # # # # # # # # # # ######### # # # ### # # # # ####### # ### # ####### # # #########
#   # #   # #   #   #   # # #   # #   #   # #   #         #   # # #   #   #   #   # #         # # #     # # #     #       # #   #     # #   #   #   # #
### # ### # # # # # # ### ### # # ####### # ####### ######### # # # ####### ################# ### ### # # # ################# ####### # ######### # # #
# # # #   #   # # # # #   #   # #   #     # #     #         #   # #     # # #               # #   #   # #         #   #     #   #   #   #   #   # #   #
# # # ######### ### # ### # ### ### # ##### # ### ######### ### ####### # # # ############# # # ### ### # # ##### # # # # # ### # # # ### # # # # ### #
#   #   #     #     # #   #   #   # # #   # # #   #   #   #   #   # #   #   #     # #   #   #   #   #   # # #   # # #   # #     # # #     #   # # #   #
### ### # ### # ##### # ##### ### # # ### # # # ### # # # ### ### # # ##### ##### # # # # ########### ##### # ### # ######### ##### ########### ### ###
#   # # # # # #     # #     #   #   # #   #   # #   # # # #     # #     #   #   #   # # # #       # # #     #   #   #     #   #   #     #     #   #   #
# ### # # # # # ### # ### ##### ##### # ####### ### ### # ### ### ### # ##### ##### ### # # ##### # # # # ### # ######### # ##### ##### # ### ### # # #
#     # # # #   # # # # #   #   #   #       #   #     # #   # #   #   # #   #     #   # #   #     #   # #   # #   #       # #   #       # #   #   # # #
### ### # # # ### # # # ### # ##### ### ##### # # # # # ### ### ### ##### # ##### ### # ####### ########### ##### # ####### # # # ####### ##### ##### #
#   #   #   #   # # # #       #   #   #       # # # # # # # #   #   # #   # #   # #   #   #     #   #     # #       #   #     #     #   #   #     #   #
# ### ######### # # # ##### ##### # ### # # ##### # # # # # # ### ### # ### ### # # ##### # ##### # ### # # # ##### # # ########### # ##### ##### # ###
#     #       # # #       # #     #     # # #     # #   #   #     #   #   #             # # #     # #   # # # #     # #           #         #     # # #
####### ##### # # ######### # ########### ### ########### # ####### # ##### ##### ##### # # # ##### # ### # # # ############# ### ########### # ### # #
# #   #     #   #     #     #       #   # #   #           #   #   # # #     #     # #   #   # #   # #   #   # #         #   # # #   #   # #   #     # #
# # ### ############# # ########### # # # # ### ######### ### ### # # # ##### ##### # ####### ### # # ####### # ### ### ### # # ### ### # # # ### ### #
#       #               #         #   #   # #   #     #   #   #   # #   #   # #   # # #     #     # # #   #   # # # # #   # #   #   #     # #   #   # #
######### ########### ### ####### ##### ### # ### ### ##### # # ### ####### # # # # # # ### ####### # # # # # # # # # ### # ### # ### ##### # # # ### #
# #     #   #   #   #   # #     #     # #   # # #   # #     #     # #       #   # #   # # # #         # # # # # #   #     #     #   #     # # # #     #
# # ### # ### # # # ### # ##### ####### # ### # ### # # ######### # # ### ####### ##### # # # ##### ### # # ### ##### # ### # # ### ### # # # ####### #
# # # # #     # # #   # #     #       # # #   #     # # #         #   # # #   #   #   # #     #   # #   # # #   #   # # #   # #   #   # #   #     #   #
# # # # ####### ##### # ##### ### ### # # # ### ### ### ############# # # # # # ### # # ####### # # # ### ### # # # # # ##### ####### # ########### ###
# #   # #     #     # #   #     #   # # # #   # #   #   #   #   #     #   # # #   # #   # #     #   # # #     # # # # # #   #       #   #         # # #
# ##### # ### ### # # ### # ### ### # # # # # # # ### ### # # ### ######### # # ### ##### # ######### # ####### ### # ### # ####### ##### ##### # # # #
#   #   # #   #   # #     #   #   # #     # #   #   # #   # # #   #     #   # #   # #     #   #     # #       #     #   # #     #   #     #   # #   # #
### # ### ##### ### ######### ### # ### ### ####### # # ### # # ####### # ### ### # ### # ### # ### # ####### ######### # ##### # ### ####### ####### #
# # #   #       #   #     # # #   #   # # # #   #   #     #     #   #   #   #   # #   # # #     # #   #     # #   #       #     #   #   #     #     # #
# # ### ######### ####### # # ####### # # # # ### ##### # ######### # ##### ##### ### # # ### ### ######### # ### # ### ### ####### ### # ##### ### # #
# #     #       # #         #         # #     #       # #   #   #   #     # #         # # #   #   #     #   #   # # # # # # #       #     #   #   # # #
# ##### # ### ### # ##### ############# ####### ####### # # ### # # ### # # # ### ##### # # ### ### ### # # ### # # # # # # # ####### ##### # ### # # #
# #   #   # #     #   #   #           # # #   #     #   # #   # # # #   # #   #   #     #   #   #   # #   # # #     # # # #   #     #   #   # #   # # #
# # # ##### ######### ##### # ##### ### # # # ##### # ### ### # # ### ### ##### ### ########### ##### ##### # ### ### # # ####### ##### ##### # ### # #
# # #     #       # #       #   #   #   #   # #     #   # #   # #   # #   #     # #     #     #   #   #   # #     #     # #     #     # #     #   # # #
# # ##### ##### # # ##### ##### ##### ####### # ####### ### ### ### # ##### ##### ### # ##### ### # ### # # ####### # ### ##### ##### # # ####### # # #
# # #   #   #   # # #   # #   #     #       # #       # #   #   # # #     #   # #     #   #   #   #   # # # #   # # #     #   # #   #   #         #   #
# # # # # ### ### # ### # # ####### ####### # ######### # ### ### # ### ##### # ######### # ### ### # # # # # # # # ####### # # # # ############# # ###
# #   # #   #   # #       # #               # #         #   #     #   #     # # #   # #   # # #   # # # #   # # # #   #   # #   # #         # #   #   #
# ##### ### ##### ##### ### # ##### ######### # ######### # # # ##### ##### # # # # # # ### # # # # # # ##### # # ### # ### ############### # # #######
# #     #   #           # # #   #       #   # #     #   # #   #         # # #   # # # #   # #   # # # #     # #       #   #   #       #       #   #   #
# # # ##### # ########### # ### ##### # # # # ##### ### ############### # # ### # # # ### # ##### # ####### # ######### # ### ### ### # ### # ### # # #
# # # #   #   #   #       # # #     # #   # #   #   #         #     #   # # #   # # #       #   # #     #   #           # #   #   #   # #   #   # # # #
# # ### # ####### # ####### # ##### ####### ### # ### ####### # ##### ### # ### # # ### # ### # # ##### # # ############# # ### ### ##### ##### # # # #
# #   # # #   #   #   #           # #   #     #   #   #     # #   #   #   # #   # #   # #     # #         # #             # #   #       # # #   #   # #
# ### # # # # # ### # ####### # # # # ### ######### ### ### # ### # ### # # # ####### ######### ####### ##### ############# # ######### # # # ### ### #
#   #   # # #   # # #     #   # #   #   # #   #     # #   #   # # # #   #   #       #         #       # #   # #   #         # #         # #   #     # #
### ##### # ##### # ##### # ########### # # # # ### # ### # ### # # # ### ######### ######### # ##### # ### # ### # # ####### ########### ##### ### # #
# #     #   #     #     # # #       #   #   #   #   #     # #   # #   #   #         #   #   # #   #   #     # #   # # #   # #   #     #   #     #   # #
# ### # ####### ####### # # ####### ### ##### ############### ### ##### ############# ### # # ##### ####### # # ### # # # # ### # ### # ### ##### #####
#   # # #     # #   #   #     #   # #         #   #           #   #     #           #     # #       #       #   #   # # # #     #   # #   # #   #     #
### # # # ### # # # # ##### # # ### # ### ##### # # ########### ### ########### ### ####### ######### ########### ### ### # ####### # ### # # ####### #
#   # # #   # # # # #     # # #   # #   # #   # #     #       #     #       #   #   # #       #     # #     #   #   # #   #   # #   #     # #       # #
# # # # ##### # # # ##### # # ### # ##### # ### ##### # ######### ####### ### ### ### # ### # # # ### # ### # ##### # # ##### # # ######### ### # ### #
# #   #         # #       # #   # # #   # # #   #   # # #         #   #   #     # #   #   # # # #     # #   #     # #   #     # #       #     # # #   #
# ########### ### ######### ### # # # # # # # ### # ### # ######### # # ### ##### # # ### # # # # ##### # ####### # ####### ### ####### # ##### # # # #
#           # # # #   #     # # # # # #   # # #   #     # #   #     # #   # #   #   #     # # # #     # # #   # #     #           #   # #       # # # #
############# # # # # ####### # # # # ##### # # ######### # # # # # # # ### ### ########### # # ##### # ### # # ##### # ######### # ### ######### # # #
#         #   #   # #   #   # #     #   #   # # #       #   #   # # # #       # #           #   #     #   # # # #   # # #   #     #         #     # # #
# ####### # ####### ### # # # # # ##### # ### # ####### ########### # ##### # # # ############### ####### # # # # # # # ### # ############# # ##### ###
#       # # #       #   # # # # # #   # #   #         #   #         #       # # # #     #       #       #   #   # # # # #   # #         # # # #   #   #
####### # # ####### ##### # # # # # ### # # ### ##### ### # ################# # # # ### # ##### ####### ####### ### # # # ##### ####### # # # # # ### #
#   #   # #       #     # #   # # #   #   #   #   #   #   #           #   #   # # # #   #     #     #   #       #   #     #     #     # # # # # #     #
# # # ########### ##### # ##### ##### ####### ##### ### ############# # # # ### ### ######### ##### # ####### ### ### # ### ##### ##### # # # # #######
# #               #   # #     #     #       # # #     # #           #   # #   #   #   # #     #   # #       # # # #   # #   #   # #     # # # #   #   #
# ######### ####### # # ##### ### ####### # # # # # ### # ############### ### ### ### # # ##### # # ##### ### # # # ### # ### # # ### ### # ##### # # #
#   #   # #       # #       #     #     # # #   # # #             #       # #     #   # #       # #       #   # # #   # #     #   #   #     #   # # # #
### # # # ####### ##### # ######### ### ### ### # ### ############# ####### # ##### ### ######### ######### ### # ##### ####### ### ### ##### # # # # #
# # # # #       #   #   # #   #       # #       #   # # #   #     #   #     # #     # #     #     #     #   # #       # #     #   #     #     #     # #
# # # # ####### ### # ### # # # ##### # # # ##### # # # # # # ### ### # ##### # ##### ##### # # ### ### # ### ### ### # # ### ### ### ####### ### ### #
# #   # #     #   #   # # # #   # #   #   # #   # #       #     #     # #     #   #       #   # #   #       #     # #     #     #   # #     # #   #   #
# ##### # ### ### ##### # ### ### # ####### # # ########### # # ####### # ####### ####### # ### # ### ##### # ##### ### ### ### # # ### ### # #########
#     #     # #   #     #     # #   #     # # #             # # # #   # #   #   #     # # # #   #   # #   #   #   #   # #   #   # #   #   #   #       #
##### # ### # # ####### ####### # ### ##### # ########### ### # # # # # ### # # ##### # # ### ####### ### ##### ##### # # ### ####### ### ### # ### # #
#     #   # # # #   # # #     #   # #   #   # #   #       #   #   # #     #   #     # # #   #   #   # #     #     # #   # #   #     # # # # # # # # # #
# ### ##### # # ### # # # # # ##### ### # ### # # ######### ### ### ##### ##### # ### # ### ### # # # # ### # ### # ##### ### # ### # # # # # # # # ###
# #   #     # # #   #     # #     #   #   #   # #   #     # # #     # #   #     # #   #   # #   # #   # #   #   #       # #   # #   # #   # # # # #   #
# ##### ####### # ######### ##### # # ##### ####### # ### # # ####### # ### ####### ##### # # ### ### ### ############# # # ### # ### # ### # # # ### #
# #   # #   #   #     #     #   # # # #       #   # #   #   #   # #     #   #     #     #   # #   #       #     #     #   #     #   # #     #   #     #
# # # # # # # ##### ### ##### # # # # ##### # # # # # ####### # # # # ### ####### ##### # # # ### # # ######### # ### ############# # # ###############
# # #     # #   #     # #   # #   # #   #   # # # #   #   #   # # # #   #               # # # #   # #   #       # # # #     #   # # # #     #     #   #
# ##### ### ### ##### # # # # ##### ### ##### # # ##### # # ### # # ### ######### ######### # # ### ### # # # # # # # # ### # # # # # ##### ##### # # #
#       #       #   #   # # # #   #   # #     # # #     # # #   #   #   #   #     #   #     #   #     # # # # # # # #   #   # #     #     # #     # # #
######### # # ### # ##### ### # ##### # # ####### # ####### ##### ### ### ### ### ### # ############# # ### # ### # ##### ### ######### ### # ##### # #
#   #   # # # #   #           # #     #   #     # #       #       #   #   #     #     # # #         # # #   # #   #     #   # #         #     #     # #
# ### # # # ### ######### ##### # ######### ### # ####### ##### # # ### ### # ##### ### # # ####### # ### # # # ##### ##### # # ######### # ### ##### #
# #   # # # #   #   # #   #   #     #   #   # # #       #   #   # #   # #   #   # #     # # #       #     # #   #   #       #   #     # # # #   #     #
# # ### # # # ### # # # ### # ####### # # ### # # ######### ######### # # ##### # ##### # # # ############# ##### # # ####### ### ### # # # # ### ### #
